title_id;title;release_id;distributor;genres;runtime_minutes;release_worldwide_gross;release_domestic_gross;release_foreign_gross;title_worldwide_gross;title_domestic_gross;title_foreign_gross;earliest_release_date;worldwide_opening_weekend;domestic_opening_weekend;n_theaters_opening;n_theaters_widest;release_date;days_in_release
tt5690360;slender man;rl3573646849;screen gems;horror,mystery,thriller;93;51738549;30569484;21169065;51738549;30569484;21169065;2018,08,9;11371866;11371866;2358;2358;2018,08,10;144
tt7137846;breaking in;rl1392870913;universal pictures;action,crime,drama,thriller;88;51411620;46840590;4571030;51411620;46840590;4571030;2018,05,9;17630285;17630285;2537;2537;2018,05,11;235
tt1137450;death wish;rl33719809;metrogoldwynmayer mgm;action,crime,drama,thriller;107;49562710;34017028;15545682;49562710;34017028;15545682;2018,03,1;13010267;13010267;2847;2882;2018,03,2;305
tt8108198;andhadhun;rl3741812225;eros international;crime,thriller;139;49391206;1193046;48198160;49391206;1193046;48198160;2018,10,4;278677;278677;56;62;2018,10,5;91
tt7521990;golden job;rl2701624833;well go usa entertainment;action,adventure;100;47279677;285795;46993882;47279677;285795;46993882;2018,09,20;121391;121391;34;34;2018,09,28;95
tt0118715;the big lebowski;rl2164688385;fathom events;comedy,crime,sport;117;592832;582585;10247;46735469;18034458;28701011;1998,03,6;330067;5533844;624;658;2018,08,5;149
tt2328900;mary queen of scots;rl3171059201;focus features;biography,drama,history;124;46672564;16468499;30204065;46672564;16468499;30204065;2018,12,7;194777;194777;4;1052;;339
tt7334528;uncle drew;rl67274241;lionsgate;comedy,sport;103;46664414;42469946;4194468;46664414;42469946;4194468;2018,06,27;15242781;15242781;2742;2742;2018,06,29;186
tt6063050;acrimony;rl2869134849;lionsgate;drama,romance,thriller;120;46403669;43549096;2854573;46403669;43549096;2854573;2018,03,29;17170707;17170707;2006;2006;2018,03,30;277
tt8001346;asterix the secret of the magic potion;rl1242138113;entertainment one;adventure,animation,comedy,family,fantasy;87;46154065;1271953;44882112;46154065;1271953;44882112;2018,01,18;193040;193040;51;76;2019,02,15;269
tt0055614;west side story;rl587695617;fathom events;crime,drama,musical,romance;153;398670;398670;;44061777;44055492;6285;1961,10,18;207145;;616;616;2018,06,24;191
tt1072748;winchester;rl117671425;lionsgate;biography,drama,fantasy,horror,mystery,thriller;99;44019588;25091816;18927772;44019588;25091816;18927772;2018,02,2;9307626;9307626;2480;2480;2018,02,2;333
tt2798920;annihilation;rl1057129985;paramount pictures;adventure,drama,horror,mystery,scifi,thriller;115;43070915;32732301;10338614;43070915;32732301;10338614;2018,02,23;11071584;11071584;2012;2112;2018,02,23;312
